Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-1,L-Isoleucine,691432.1,434109.2,319845.8,408585.7,668574.4,625231.6,680759.2,245961,377462.8,482832.1,350840.1,179938.2,192225.8,635746.2,864749.5,759378.7,370970.9,383146.5,540626.6,163202.1,225500.5,845256.7,623333.2,703274.2,C6H13NO2
C13-label-2,L-Isoleucine,35627.14,26040.29,9412.202,26717.72,38884.46,43914.92,38992.05,7122.448,13166.58,22992.81,24048.83,6925.83,6533.049,39357.95,57504.36,41305.97,16304.97,23606.56,39054.95,6771.65,9475.82,47850.24,22388.8,39826.62,C6H13NO2
C13-label-3,L-Isoleucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H13NO2
C13-label-4,L-Isoleucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477.759,C6H13NO2
C13-label-5,L-Isoleucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166.005,0,0,0,0,0,0,C6H13NO2
C13-label-6,L-Isoleucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H13NO2
C12 PARENT,L-Leucine,11200000,6999344,5246884,6487114,11600000,10700000,12400000,3904326,5791352,7737956,5838486,2998095,3133654,11300000,14400000,12600000,6226848,6599882,9618150,2682796,3869977,13100000,11300000,11700000,C6H13NO2
C13-label-1,L-Leucine,741061.4,452495.5,335560.4,426141.8,757274.3,711336.2,774764.7,254826.1,389024.9,505959.9,396605.2,198386,208979.4,737106.6,970442.3,860158.2,385247,408496.3,646632.1,181013.2,249613.3,818406.5,721305.8,751172.8,C6H13NO2
C13-label-2,L-Leucine,40299.32,22643.32,15044.61,19777.67,48244.27,33839.49,51337.41,16242.61,22825.24,32905.25,21368.13,12974.23,9809.935,49177.03,58151.89,46907.92,18951.83,22623.1,43403.86,7400.983,7092.432,58406.36,43357.18,56492.8,C6H13NO2
C13-label-3,L-Leucine,0,0,2275.128,0,0,0,0,0,0,0,0,0,0,0,1903.81,0,0,0,0,0,0,0,0,0,C6H13NO2
C13-label-4,L-Leucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120.877,0,0,0,0,0,C6H13NO2
C13-label-5,L-Leucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H13NO2
C13-label-6,L-Leucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H13NO2
C12 PARENT,L-Asparagine,1939928,1143338,1260931,1074921,3318253,3107314,2922348,911674.2,1217232,1337389,1018248,639509.8,619768.8,2933735,3402566,3367219,1205894,1266937,1491394,485422.2,771917.1,2176880,3065193,3201641,C4H8N2O3
C13-label-1,L-Asparagine,81908.38,45375.54,65526.86,44339.84,128079.9,162140.4,134802.8,39902.96,53088.02,66927.43,43386.19,21632.73,21454.64,145636,166479.6,150495.2,57062.42,49283.97,61470,17769.43,28652.7,82626.76,118883.6,126228.4,C4H8N2O3
C13-label-2,L-Asparagine,8665.765,0,8295.953,2722.018,19457.47,24206.12,21534.61,4327.175,8113.902,3770.368,0,2822.721,3053.401,6309.512,9274.724,11776.8,3444.674,8555.578,4552.578,0,0,0,5164.6,19408.51,C4H8N2O3
C13-label-3,L-Asparagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H8N2O3
C13-label-4,L-Asparagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7799.205,0,0,0,7173.897,5236.319,C4H8N2O3
C12 PARENT,Ornithine,330805.5,287611.8,425962.1,316420.9,448139,350634.1,414381,152850.3,251964,311598,269918.2,162926.8,200150.5,413920.3,347639,364075,338672.4,221435,312697,144592.3,200949,436500.8,340470.8,380063,C5H12N2O2
C13-label-1,Ornithine,0,0,12182.48,10772.04,12037.46,0,0,0,0,12440.34,9388.823,0,0,0,0,15359.1,11236.77,0,0,0,0,17509.3,0,0,C5H12N2O2
C13-label-2,Ornithine,0,0,0,14531.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C13-label-3,Ornithine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C13-label-4,Ornithine,0,0,0,0,0,0,0,0,0,12722.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C13-label-5,Ornithine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C12 PARENT,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
C13-label-1,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
C13-label-2,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
C13-label-3,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
C13-label-4,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
C12 PARENT,L-Malic acid,19100000,7914086,9191392,8748402,27200000,27600000,26800000,17400000,20500000,17400000,9420877,9804171,9008075,26000000,30900000,27700000,15100000,17100000,9609987,6255078,6705088,7000226,15600000,18100000,C4H6O5
C13-label-1,L-Malic acid,1029545,566610.3,604577.7,634006.5,2367561,2571331,2525940,895737.6,991910.1,981232.1,997187.4,1007459,911286.3,2381890,2489618,2378111,872526.4,962074.1,651784.3,466688.8,606437.6,665528.3,3018815,3075105,C4H6O5
C13-label-2,L-Malic acid,599931.6,560613.6,668560.4,713770.8,3185753,3639226,3412346,452460.8,589734.4,174367.7,93947.4,57614.26,80440.18,276420.8,326920.9,320751.2,140730.8,155524.3,873877.8,374060.5,688147.4,652594.6,4125425,4306580,C4H6O5
C13-label-3,L-Malic acid,14995.53,42048.99,97225.28,79858.73,525489.7,697303.8,630980.2,15869.69,18826.71,0,0,13889.47,0,13610.86,0,0,0,0,2699931,395875.6,779071.8,811889.2,2724066,2663736,C4H6O5
C13-label-4,L-Malic acid,0,0,0,0,130381,116474.5,58085.15,29910.26,0,0,0,54778.28,0,0,0,0,0,0,5426210,1102296,1711392,1757068,10800000,10300000,C4H6O5
C12 PARENT,Adenine,324959.5,0,443120.5,219596.3,395525.4,185148.9,432453.8,284946.1,567611.1,287903.4,581120.6,0,448057.2,0,397222.2,0,0,276274.7,469940.8,565975.8,250693,245501.2,300868.5,374256.8,C5H5N5
C13-label-1,Adenine,0,23569.3,23398.48,0,20593.38,0,0,0,30447.2,14135.76,0,30359.88,0,39244.7,15943.33,17377.41,0,0,0,0,7938.668,16816.51,15507.82,18764.1,C5H5N5
C13-label-2,Adenine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H5N5
C13-label-3,Adenine,0,0,2673.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H5N5
C13-label-4,Adenine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523.111,0,C5H5N5
C13-label-5,Adenine,0,0,2794.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H5N5
C12 PARENT,Hypoxanthine,64579.2,52777.12,59266.26,61567.66,80472.12,83586.05,97724.44,57484.94,61064.17,62370.08,52758.08,57343.82,52471.61,97212.03,85647.93,78259.36,55752.89,64589.66,53395.39,52841.89,53379.61,76637.23,79659.43,75427.38,C5H4N4O
C13-label-1,Hypoxanthine,0,0,0,0,2119.506,2048.713,0,0,2213.493,0,2648.6,2039.953,2339.321,2148.866,0,2982.946,0,1943.972,0,0,0,3430.039,0,2422.555,C5H4N4O
C13-label-2,Hypoxanthine,0,0,0,0,0,0,0,3497.127,0,0,4836.563,21977.4,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O
C13-label-3,Hypoxanthine,0,0,0,1806.906,0,0,0,0,0,0,0,2125.418,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O
C13-label-4,Hypoxanthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O
C13-label-5,Hypoxanthine,0,0,0,0,0,0,0,0,0,0,0,0,1769.566,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O
C12 PARENT,Phenylacetic acid,70614.88,100679.2,51436.89,112198.4,35400.77,24484.38,75438.65,36368.8,61618.02,21504.67,21492.9,57452.28,26768.16,24296.98,38349,24354.2,49907.29,130391.8,36674.29,22866.97,27388.71,145408.1,26515.81,111697.3,C8H8O2
C13-label-1,Phenylacetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H8O2
C13-label-2,Phenylacetic acid,0,0,0,0,0,0,0,0,0,0,11939.52,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H8O2
C13-label-3,Phenylacetic acid,0,0,0,0,53542.98,0,0,0,0,40964.03,0,0,0,0,0,70326.73,17598.83,0,0,0,0,0,0,0,C8H8O2
C13-label-4,Phenylacetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H8O2
C13-label-5,Phenylacetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H8O2
C13-label-6,Phenylacetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H8O2
C13-label-7,Phenylacetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14687.34,0,0,0,C8H8O2
C13-label-8,Phenylacetic acid,1248112,5699546,0,6465216,1208756,0,0,0,0,0,1018909,1013192,0,1298128,0,0,0,2407086,0,0,0,7267146,3595241,6037706,C8H8O2
C12 PARENT,Oxoglutaric acid,1394487,508676.2,1144299,806178.7,1106436,1453345,1139506,1469081,1841304,1351960,783483.7,874039.5,812212.8,1200169,1492285,1323388,1117268,1687491,524439.7,462655.6,512821.7,451916.7,660978.8,678735.8,C5H6O5
C13-label-1,Oxoglutaric acid,65967.84,25121.7,70112.61,19606.38,73633.84,79356.12,106395.2,76147.93,91582.51,80165.13,45230.17,54129.22,55007.61,85350.3,81165.09,92867.46,25710.53,82775.97,17109.31,17854.03,35831.76,21309.36,75987.12,110010.2,C5H6O5
C13-label-2,Oxoglutaric acid,0,0,0,0,159744.5,234598.5,182059.9,0,0,0,0,0,0,0,0,0,0,0,0,0,134068.7,0,105414.2,136702.8,C5H6O5
C13-label-3,Oxoglutaric acid,0,0,0,0,11939.1,0,16453.58,0,11723.79,0,0,0,0,0,0,0,0,0,27891.11,28138.88,55901.94,27533.34,145776.7,109674,C5H6O5
C13-label-4,Oxoglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H6O5
C13-label-5,Oxoglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594155.7,217447.2,357482.6,167697.8,616123.2,677531.7,C5H6O5
C12 PARENT,L-Glutamine,42200000,26000000,18800000,25500000,43800000,46400000,41900000,14800000,24000000,29000000,23900000,12700000,13800000,41900000,54500000,48300000,21400000,24900000,15800000,968430.7,995193.8,12000000,4968330,8648257,C5H10N2O3
C13-label-1,L-Glutamine,2363235,1499057,1072425,1471190,2716051,2740607,2527465,830781.2,1336250,1628170,1378323,708555,768937.6,2467102,3291001,2955385,1158090,1367867,916999.2,60197.25,53958.68,678784.4,315840.5,508265.5,C5H10N2O3
C13-label-2,L-Glutamine,278562.7,166166.1,134969.4,161385.8,490013.8,489502.9,433109.6,91782.79,154641.8,221770.8,167298.2,83889.95,85397.98,319157,349614.9,258741.5,148838.6,172458,99642.1,10097.79,11536.99,107249.1,24178.17,54169.42,C5H10N2O3
C13-label-3,L-Glutamine,19917.4,5087.019,3295.789,0,76838.02,104154.5,68059.86,5961.348,4184.458,0,3670.081,3152.305,0,9044.516,9848.563,12936.94,0,0,0,0,0,0,79371.23,95188.43,C5H10N2O3
C13-label-4,L-Glutamine,0,0,0,0,30159.23,37632.67,27145.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H10N2O3
C13-label-5,L-Glutamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41092.56,6162.974,14799.09,15353.59,301092.9,342021.9,C5H10N2O3
C12 PARENT,L-Lysine,693671.2,644650.7,528772.4,564835.3,854144.2,777849.5,953854.5,329147.4,387092.9,577894.3,535084.6,277304.6,391458.3,911685.3,890279.3,967303,430765.6,467514.3,665911.4,264882.3,355665.4,792181.8,929628.2,909164.8,C6H14N2O2
C13-label-1,L-Lysine,24133.25,39449.25,14756.06,20194.85,51734.86,35747.92,49521.75,9013.998,11509.73,14314.22,15956.64,0,0,43450.07,48044.7,55042.77,14040.14,25740.41,38905.7,9187.742,9297.439,53289.71,33985.02,54648.57,C6H14N2O2
C13-label-2,L-Lysine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H14N2O2
C13-label-3,L-Lysine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H14N2O2
C13-label-4,L-Lysine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H14N2O2
C13-label-5,L-Lysine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12986.21,0,C6H14N2O2
C13-label-6,L-Lysine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H14N2O2
C12 PARENT,L-Glutamic acid,72600000,4930152,7114748,5677286,23900000,25100000,22000000,63900000,59900000,56400000,5970282,5277552,5836652,26300000,30800000,29300000,57500000,59800000,3590793,753288.8,866298.3,1957343,4700028,5243592,C5H9NO4
C13-label-1,L-Glutamic acid,4457228,508683.3,618722.2,574128.2,2469932,2690332,2275979,4241128,3946497,3430660,518768.7,488738.8,512258.1,1912702,2274737,2275600,3475936,3582580,143558.7,138862.9,176699,232301.3,1382497,1540511,C5H9NO4
C13-label-2,L-Glutamic acid,3995187,688624.6,736577.2,818274.1,4474868,4851366,4234352,3513919,3239816,489991.1,44627.53,40500.88,51577.53,222343.2,241395.2,248904.2,427017.9,458546.3,486836.8,129938.8,162816.5,180686.1,895667,991603.5,C5H9NO4
C13-label-3,L-Glutamic acid,303538.3,125011.1,125653.2,142431.5,852265.3,877969.2,844548.7,246145.9,251318.8,34855.96,2377.982,2817.474,2975.13,0,10285.06,10503.57,21343.08,22396.71,1650746,310979.2,380915.8,405335.3,2794184,2973277,C5H9NO4
C13-label-4,L-Glutamic acid,130943.1,69247.35,89056.28,88610.51,564495.6,587980.9,530151.3,91297.22,113360.1,0,0,0,0,0,0,0,0,61548.78,469948.4,57012.03,67136.06,78463.09,357074.9,359962.3,C5H9NO4
C13-label-5,L-Glutamic acid,9635.578,4074.715,0,10482.65,76963.16,106405.1,71324.8,0,0,0,0,0,2289.921,0,2981.615,0,0,0,13700000,1455374,1596455,1870298,8811238,9194557,C5H9NO4
C12 PARENT,O-Acetylserine,4187.496,5190.875,4326.82,6672.963,4407.239,5096.895,9287.565,5375.675,27144.94,7396.994,8996.112,19292.7,12518.38,27818.09,7824.312,5676.013,8285.979,3900.395,18838.02,5773.212,3112.313,10778.56,6782.296,8649.071,C5H9NO4
C13-label-1,O-Acetylserine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H9NO4
C13-label-2,O-Acetylserine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H9NO4
C13-label-3,O-Acetylserine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H9NO4
C13-label-4,O-Acetylserine,0,0,0,41101.14,0,35155.34,51432.73,60112.62,0,40991.5,0,41586.46,0,44802.01,0,0,0,0,0,41669.08,0,0,0,0,C5H9NO4
C13-label-5,O-Acetylserine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117.015,0,0,0,0,0,0,13438.38,C5H9NO4
C12 PARENT,N-Acetylserine,1623347,710194.8,1062625,761859.3,5186089,4995828,4999466,1380159,189914.4,1405767,547850.4,541575.1,663506.3,4711187,4799815,5120450,1932197,1507070,1094189,480973.7,675576.4,747882.8,5582994,5424804,C5H9NO4
C13-label-1,N-Acetylserine,112791.9,33290.03,59837.37,55804.5,316457.7,346693.2,276178.5,87704.72,0,124465.1,48703.73,29492.19,47259.52,288778.2,282487.8,344811.2,120170.3,128241.2,48947.86,16168.57,9131.604,12330.01,305215.2,311862,C5H9NO4
C13-label-2,N-Acetylserine,157974.1,109298,83254.41,108850.3,1005561,931679,852691.8,118466.3,0,0,0,7980.012,0,23776.12,34882.05,31609.14,5829.125,0,203733.6,15059.17,35581.54,74534.15,421655.4,364618.8,C5H9NO4
C13-label-3,N-Acetylserine,0,0,0,0,14397.06,19714.28,8312.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7473.377,C5H9NO4
C13-label-4,N-Acetylserine,0,0,0,0,559225.2,0,0,0,481536.2,0,438090.1,477726.5,469721.7,0,0,0,0,451675.1,470070.4,0,445549.1,464621.2,463047.5,0,C5H9NO4
C13-label-5,N-Acetylserine,0,0,0,0,0,24685.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H9NO4
C12 PARENT,D-2-Hydroxyglutaric acid,5741092,2215334,2666728,2170538,4771386,4710354,4496780,4697668,5495458,5049868,2362472,2347092,2365936,4276752,5167068,4932266,4477218,4836892,3501540,2330029,2014121,2026174,3606390,4541328,C5H8O5
C13-label-1,D-2-Hydroxyglutaric acid,340723.3,93711.46,115284,131488.7,324507.3,264473.8,248300.7,220126.2,343064.5,247538.3,191628.4,169864.7,175691.1,271632.9,360868.2,332298.8,250759.4,262616.5,236746,103739.3,134865.8,159526.2,254301.2,300546.6,C5H8O5
C13-label-2,D-2-Hydroxyglutaric acid,63556.97,39609.45,0,53186.83,248706,234794.3,248977.5,98233.31,63037.04,26363.32,0,0,0,0,18100.18,18420.6,20739.88,16377.89,17525.62,13751.8,24191.78,15699.6,23706.03,58149.53,C5H8O5
C13-label-3,D-2-Hydroxyglutaric acid,0,0,0,0,14546.64,12995.22,14519.66,0,0,0,0,0,0,0,0,0,0,0,125142.1,15069.5,85553.41,36128.73,272115.1,245198.3,C5H8O5
C13-label-4,D-2-Hydroxyglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H8O5
C13-label-5,D-2-Hydroxyglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142191,172958.1,286387.5,311421.8,772586.3,877098.2,C5H8O5
C12 PARENT,L-Methionine,864985.2,638126.8,297750.9,363180.1,1066363,801356.7,1633371,291210.1,470556,562118.7,384622.5,176564.7,186591.5,1101134,1233958,1222987,469809.4,569173.9,658935.8,154647.1,209464.8,896136.8,1106340,1185951,C5H11NO2S
C13-label-1,L-Methionine,48899.78,34054.3,20586.19,7425.977,69120.33,47090.92,85057.01,14485.75,25519.32,22475.88,21293,9158.326,6891.381,56956.01,65659.41,68863.82,27890.28,32173.34,37243.93,0,3893.292,51400.7,66056.84,66719.1,C5H11NO2S
C13-label-2,L-Methionine,0,0,0,0,0,0,5205.538,0,0,0,0,0,0,3686.265,2760.95,0,0,0,0,0,0,3494.964,2184.447,0,C5H11NO2S
C13-label-3,L-Methionine,0,0,0,0,0,0,0,0,0,2094.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H11NO2S
C13-label-4,L-Methionine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H11NO2S
C13-label-5,L-Methionine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H11NO2S
C12 PARENT,Xanthine,38143.44,26642.52,37195.72,24588.76,38913.02,32517.19,56262.92,31410.32,40167.19,35500.5,26601.81,28439.08,31044.54,34656.49,41201.54,33935.07,45002.89,35371.91,35572.35,24099.3,28656.81,35904.89,33420.1,41142.05,C5H4N4O2
C13-label-1,Xanthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O2
C13-label-2,Xanthine,0,0,0,0,0,0,3315.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O2
C13-label-3,Xanthine,0,0,0,0,0,2013.912,0,0,0,0,0,2402.932,0,5690.002,2548.346,0,0,2163.19,0,0,0,0,0,0,C5H4N4O2
C13-label-4,Xanthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O2
C13-label-5,Xanthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H4N4O2
